,symbol,start_date,end_date
504,CU0807,2008-04-21,2008-05-22
505,CU0808,2008-05-23,2008-06-24
506,CU0809,2008-06-25,2008-07-25
507,CU0810,2008-07-28,2008-08-18
508,CU0811,2008-08-19,2008-09-16
509,CU0812,2008-09-17,2008-10-20
510,CU0901,2008-10-21,2008-11-20
511,CU0902,2008-11-21,2008-12-18
512,CU0903,2008-12-19,2009-01-15
513,CU0904,2009-01-16,2009-02-10
514,CU0905,2009-02-11,2009-03-09
515,CU0906,2009-03-10,2009-04-01
516,CU0907,2009-04-02,2009-04-23
517,CU0908,2009-04-24,2009-05-27
518,CU0909,2009-06-01,2009-06-23
519,CU0910,2009-06-24,2009-07-21
520,CU0911,2009-07-22,2009-08-20
521,CU0912,2009-08-21,2009-09-30
522,CU1001,2009-10-09,2009-11-10
523,CU1002,2009-11-11,2009-11-27
524,CU1003,2009-11-30,2009-12-28
525,CU1004,2009-12-29,2010-01-20
526,CU1005,2010-01-21,2010-02-24
527,CU1006,2010-02-25,2010-03-29
528,CU1007,2010-03-30,2010-04-29
529,CU1008,2010-04-30,2010-05-28
530,CU1009,2010-05-31,2010-06-30
531,CU1010,2010-07-01,2010-07-29
532,CU1011,2010-07-30,2010-08-25
533,CU1012,2010-08-26,2010-10-08
534,CU1101,2010-10-11,2010-10-27
535,CU1102,2010-10-28,2010-11-22
536,CU1103,2010-11-23,2010-12-31
537,CU1104,2011-01-04,2011-02-09
538,CU1105,2011-02-10,2011-03-16
539,CU1106,2011-03-17,2011-04-22
540,CU1107,2011-04-25,2011-05-25
541,CU1108,2011-05-26,2011-06-28
542,CU1109,2011-06-29,2011-07-22
543,CU1110,2011-07-25,2011-08-17
544,CU1111,2011-08-18,2011-09-19
545,CU1112,2011-09-20,2011-10-20
546,CU1201,2011-10-21,2011-11-18
547,CU1202,2011-11-21,2011-12-16
548,CU1203,2011-12-19,2012-01-17
549,CU1204,2012-01-18,2012-02-10
550,CU1205,2012-02-13,2012-03-06
551,CU1206,2012-03-07,2012-04-05
552,CU1207,2012-04-06,2012-04-27
553,CU1208,2012-05-02,2012-05-18
554,CU1209,2012-05-21,2012-06-20
555,CU1210,2012-06-21,2012-07-20
556,CU1211,2012-07-23,2012-08-15
557,CU1212,2012-08-16,2012-09-18
558,CU1301,2012-09-19,2012-10-26
559,CU1302,2012-10-29,2012-11-26
560,CU1303,2012-11-27,2012-12-26
561,CU1304,2012-12-27,2013-01-25
562,CU1305,2013-01-28,2013-02-26
563,CU1306,2013-02-27,2013-03-19
564,CU1307,2013-03-20,2013-04-08
565,CU1308,2013-04-09,2013-05-03
566,CU1309,2013-05-06,2013-06-06
567,CU1310,2013-06-07,2013-07-09
568,CU1311,2013-07-10,2013-08-19
569,CU1312,2013-08-20,2013-10-10
570,CU1401,2013-10-11,2013-11-19
571,CU1402,2013-11-20,2013-12-20
572,CU1403,2013-12-23,2014-01-15
573,CU1404,2014-01-16,2014-02-20
574,CU1405,2014-02-21,2014-03-12
575,CU1406,2014-03-13,2014-04-02
576,CU1407,2014-04-03,2014-05-14
577,CU1408,2014-05-15,2014-06-26
578,CU1409,2014-06-27,2014-07-31
579,CU1410,2014-08-01,2014-09-01
580,CU1411,2014-09-02,2014-09-24
581,CU1412,2014-09-25,2014-10-20
582,CU1501,2014-10-21,2014-11-26
583,CU1502,2014-11-27,2014-12-18
584,CU1503,2014-12-19,2015-01-23
585,CU1504,2015-01-26,2015-02-25
586,CU1505,2015-02-26,2015-03-24
587,CU1506,2015-03-25,2015-04-27
588,CU1507,2015-04-28,2015-05-27
589,CU1508,2015-05-28,2015-06-29
590,CU1509,2015-06-30,2015-07-27
591,CU1510,2015-07-28,2015-08-27
592,CU1511,2015-08-28,2015-09-28
593,CU1512,2015-09-29,2015-10-30
594,CU1601,2015-11-02,2015-11-26
595,CU1602,2015-11-27,2015-12-29
596,CU1603,2015-12-30,2016-02-01
597,CU1604,2016-02-02,2016-02-29
598,CU1605,2016-03-01,2016-03-29
599,CU1606,2016-03-30,2016-04-26
600,CU1607,2016-04-27,2016-05-27
601,CU1608,2016-05-30,2016-06-28
602,CU1609,2016-06-29,2016-08-01
603,CU1610,2016-08-02,2016-09-02
604,CU1611,2016-09-05,2016-09-28
605,CU1612,2016-09-29,2016-11-01
606,CU1701,2016-11-02,2016-11-28
607,CU1702,2016-11-29,2016-12-28
608,CU1703,2016-12-29,2017-02-09
609,CU1704,2017-02-10,2017-03-08
610,CU1705,2017-03-09,2017-04-12
611,CU1706,2017-04-13,2017-05-09
612,CU1707,2017-05-10,2017-06-01
613,CU1708,2017-06-02,2017-07-03
614,CU1709,2017-07-04,2017-08-01
615,CU1710,2017-08-02,2017-09-06
616,CU1711,2017-09-07,2017-09-29
617,CU1712,2017-10-09,2017-11-07
618,CU1801,2017-11-08,2017-12-01
619,CU1802,2017-12-04,2017-12-28
620,CU1803,2017-12-29,2018-02-02
621,CU1804,2018-02-05,2018-03-01
622,CU1805,2018-03-02,2018-04-13
623,CU1806,2018-04-16,2018-05-04
624,CU1807,2018-05-07,2018-06-07
625,CU1808,2018-06-08,2018-07-09
626,CU1809,2018-07-10,2018-08-09
627,CU1810,2018-08-10,2018-09-04
628,CU1811,2018-09-05,2018-10-22
629,CU1812,2018-10-23,2018-11-02
630,CU1901,2018-11-05,2018-11-30
631,CU1902,2018-12-03,2019-01-03
632,CU1903,2019-01-04,2019-02-15
633,CU1904,2019-02-18,2019-03-06
634,CU1905,2019-03-07,2019-04-18
635,CU1906,2019-04-19,2019-05-10
636,CU1907,2019-05-13,2019-06-12
637,CU1908,2019-06-13,
638,CY1801,2017-08-21,2017-12-15
639,CY1805,2017-12-18,2018-02-06
640,CY1809,2018-02-07,2018-05-09
641,CY1810,2018-05-10,2018-10-08
642,CY1901,2018-10-09,2019-01-02
643,CY1905,2019-01-03,2019-04-16
644,CY2001,2019-04-17,
645,IH1505,2015-04-17,2015-05-14
646,IH1506,2015-05-15,2015-06-19
647,IH1507,2015-06-23,2015-07-17
648,IH1508,2015-07-20,2015-08-20
649,IH1509,2015-08-21,2015-09-18
650,IH1510,2015-09-21,2015-10-16
651,IH1512,2015-10-19,2015-12-17
652,IH1601,2015-12-18,2016-01-15
653,IH1602,2016-01-18,2016-02-17
654,IH1603,2016-02-18,2016-03-18
655,IH1604,2016-03-21,2016-04-15
656,IH1605,2016-04-18,2016-05-18
657,IH1606,2016-05-19,2016-06-16
658,IH1607,2016-06-17,2016-07-14
659,IH1608,2016-07-15,2016-08-16
660,IH1609,2016-08-17,2016-09-14
661,IH1610,2016-09-19,2016-10-20
662,IH1611,2016-10-21,2016-11-15
663,IH1612,2016-11-16,2016-12-15
664,IH1701,2016-12-16,2017-01-19
665,IH1702,2017-01-20,2017-02-14
666,IH1703,2017-02-15,2017-03-16
667,IH1704,2017-03-17,2017-04-20
668,IH1705,2017-04-21,2017-05-17
669,IH1706,2017-05-18,2017-06-15
