id,trade_date
9488,2020-01-09
9489,2020-01-10
9490,2020-01-13
9491,2020-01-14
9492,2020-01-15
9493,2020-01-16
9494,2020-01-17
9495,2020-01-20
9496,2020-01-21
9497,2020-01-22
9498,2020-01-23
9499,2020-01-27
9500,2020-01-28
9501,2020-01-29
9502,2020-01-30
9503,2020-01-31
9504,2020-02-03
9505,2020-02-04
9506,2020-02-05
9507,2020-02-06
9508,2020-02-07
9509,2020-02-10
9510,2020-02-11
9511,2020-02-12
9512,2020-02-13
9513,2020-02-14
9514,2020-02-17
9515,2020-02-18
9516,2020-02-19
9517,2020-02-20
9518,2020-02-21
9519,2020-02-24
9520,2020-02-25
9521,2020-02-26
9522,2020-02-27
9523,2020-02-28
9524,2020-03-02
9525,2020-03-03
9526,2020-03-04
9527,2020-03-05
9528,2020-03-06
9529,2020-03-09
9530,2020-03-10
9531,2020-03-11
9532,2020-03-12
9533,2020-03-13
9534,2020-03-16
9535,2020-03-17
9536,2020-03-18
9537,2020-03-19
9538,2020-03-20
9539,2020-03-23
9540,2020-03-24
9541,2020-03-25
9542,2020-03-26
9543,2020-03-27
9544,2020-03-30
9545,2020-03-31
9546,2020-04-01
9547,2020-04-02
9548,2020-04-03
9549,2020-04-06
9550,2020-04-07
9551,2020-04-08
9552,2020-04-09
9553,2020-04-10
9554,2020-04-13
9555,2020-04-14
9556,2020-04-15
9557,2020-04-16
9558,2020-04-17
9559,2020-04-20
9560,2020-04-21
9561,2020-04-22
9562,2020-04-23
9563,2020-04-24
9564,2020-04-27
9565,2020-04-28
9566,2020-04-29
9567,2020-04-30
9568,2020-05-04
9569,2020-05-05
9570,2020-05-06
9571,2020-05-07
9572,2020-05-08
9573,2020-05-11
9574,2020-05-12
9575,2020-05-13
9576,2020-05-14
9577,2020-05-15
9578,2020-05-18
9579,2020-05-19
9580,2020-05-20
9581,2020-05-21
9582,2020-05-22
9583,2020-05-25
9584,2020-05-26
9585,2020-05-27
9586,2020-05-28
9587,2020-05-29
9588,2020-06-01
9589,2020-06-02
9590,2020-06-03
9591,2020-06-04
9592,2020-06-05
9593,2020-06-08
9594,2020-06-09
9595,2020-06-10
9596,2020-06-11
9597,2020-06-12
9598,2020-06-15
9599,2020-06-16
9600,2020-06-17
9601,2020-06-18
9602,2020-06-19
9603,2020-06-22
9604,2020-06-23
9605,2020-06-24
9606,2020-06-26
9607,2020-06-29
9608,2020-06-30
9609,2020-07-01
9610,2020-07-02
9611,2020-07-03
9612,2020-07-06
9613,2020-07-07
9614,2020-07-08
9615,2020-07-09
9616,2020-07-10
9617,2020-07-13
9618,2020-07-14
9619,2020-07-15
9620,2020-07-16
9621,2020-07-17
9622,2020-07-20
9623,2020-07-21
9624,2020-07-22
9625,2020-07-23
9626,2020-07-24
9627,2020-07-27
9628,2020-07-28
9629,2020-07-29
9630,2020-07-30
9631,2020-07-31
9632,2020-08-03
9633,2020-08-04
9634,2020-08-05
9635,2020-08-06
9636,2020-08-07
9637,2020-08-10
9638,2020-08-11
9639,2020-08-12
9640,2020-08-13
9641,2020-08-14
9642,2020-08-17
9643,2020-08-18
9644,2020-08-19
9645,2020-08-20
9646,2020-08-21
9647,2020-08-24
9648,2020-08-25
9649,2020-08-26
9650,2020-08-27
9651,2020-08-28
9652,2020-08-31
9653,2020-09-01
9654,2020-09-02
9655,2020-09-03
9656,2020-09-04
9657,2020-09-07
9658,2020-09-08
9659,2020-09-09
9660,2020-09-10
9661,2020-09-11
9662,2020-09-14
9663,2020-09-15
9664,2020-09-16
9665,2020-09-17
9666,2020-09-18
9667,2020-09-21
9668,2020-09-22
9669,2020-09-23
9670,2020-09-24
9671,2020-09-25
9672,2020-09-28
9673,2020-09-29
9674,2020-09-30
9675,2020-10-02
9676,2020-10-05
9677,2020-10-06
9678,2020-10-07
9679,2020-10-08
9680,2020-10-09
9681,2020-10-12
9682,2020-10-13
9683,2020-10-14
9684,2020-10-15
9685,2020-10-16
9686,2020-10-19
9687,2020-10-20
9688,2020-10-21
9689,2020-10-22
9690,2020-10-23
9691,2020-10-26
9692,2020-10-27
9693,2020-10-28
9694,2020-10-29
9695,2020-10-30
9696,2020-11-02
9697,2020-11-03
9698,2020-11-04
9699,2020-11-05
9700,2020-11-06
9701,2020-11-09
9702,2020-11-10
9703,2020-11-11
9704,2020-11-12
9705,2020-11-13
9706,2020-11-16
9707,2020-11-17
9708,2020-11-18
9709,2020-11-19
9710,2020-11-20
9711,2020-11-23
9712,2020-11-24
9713,2020-11-25
9714,2020-11-26
9715,2020-11-27
9716,2020-11-30
9717,2020-12-01
9718,2020-12-02
9719,2020-12-03
9720,2020-12-04
9721,2020-12-07
9722,2020-12-08
9723,2020-12-09
9724,2020-12-10
9725,2020-12-11
9726,2020-12-14
9727,2020-12-15
9728,2020-12-16
9729,2020-12-17
9730,2020-12-18
9731,2020-12-21
9732,2020-12-22
9733,2020-12-23
9734,2020-12-24
9735,2020-12-25
9736,2020-12-28
9737,2020-12-29
9738,2020-12-30
9739,2020-12-31
